Date,Product,Category,Sales,Quantity,Region,Customer_Age,Customer_Gender
2024-01-05,Laptop,Electronics,85000,1,Karachi,25,Female
2024-01-07,Mobile,Electronics,45000,2,Lahore,30,Male
2024-01-10,Shirt,Clothing,2500,3,Islamabad,22,Female
2024-01-12,Headphones,Electronics,8500,1,Karachi,28,Male
2024-01-15,Jeans,Clothing,4500,2,Lahore,35,Female
2024-01-18,Tablet,Electronics,55000,1,Karachi,40,Male
2024-01-20,Dress,Clothing,3500,1,Islamabad,24,Female
2024-01-22,Charger,Electronics,1500,4,Lahore,29,Male
2024-01-25,Shoes,Clothing,6000,2,Karachi,33,Female
2024-01-28,Smartwatch,Electronics,25000,1,Islamabad,27,Male
2024-02-02,Laptop,Electronics,87000,1,Lahore,31,Female
2024-02-05,Kurta,Clothing,1800,5,Karachi,45,Male
2024-02-08,Mobile,Electronics,48000,1,Islamabad,26,Female
2024-02-10,Earbuds,Electronics,5500,2,Lahore,23,Male
2024-02-14,Saree,Clothing,7000,1,Karachi,38,Female
2024-02-17,Tablet,Electronics,52000,1,Islamabad,34,Male
2024-02-20,Jacket,Clothing,8500,1,Lahore,29,Female
2024-02-22,Charger,Electronics,1500,6,Karachi,25,Male
2024-02-25,Sneakers,Clothing,9000,1,Islamabad,21,Female
2024-02-28,Smartwatch,Electronics,26000,2,Lahore,36,Male
2024-03-03,Laptop,Electronics,90000,1,Karachi,42,Female
2024-03-06,Mobile,Electronics,46000,3,Islamabad,28,Male
2024-03-09,Shirt,Clothing,2800,4,Lahore,24,Female
2024-03-12,Headphones,Electronics,9000,1,Karachi,31,Male
2024-03-15,Jeans,Clothing,5000,2,Islamabad,27,Female
2024-03-18,Tablet,Electronics,58000,1,Lahore,39,Male
2024-03-20,Dress,Clothing,4000,2,Karachi,22,Female
2024-03-23,Earbuds,Electronics,6000,3,Islamabad,26,Male
2024-03-27,Shoes,Clothing,6500,1,Lahore,33,Female
2024-03-30,Smartwatch,Electronics,27000,1,Karachi,30,Male
2024-04-02,Laptop,Electronics,88000,2,Islamabad,35,Female
2024-04-05,Kurta,Clothing,2000,6,Lahore,48,Male
2024-04-08,Mobile,Electronics,50000,1,Karachi,25,Female
2024-04-11,Charger,Electronics,1500,8,Islamabad,23,Male
2024-04-14,Saree,Clothing,7500,1,Lahore,40,Female
2024-04-17,Tablet,Electronics,54000,1,Karachi,32,Male
2024-04-20,Jacket,Clothing,9000,2,Islamabad,28,Female
2024-04-23,Headphones,Electronics,8000,1,Lahore,27,Male
2024-04-26,Sneakers,Clothing,9500,1,Karachi,24,Female
2024-04-29,Smartwatch,Electronics,28000,1,Islamabad,37,Male
2024-05-02,Laptop,Electronics,92000,1,Lahore,44,Female
2024-05-05,Mobile,Electronics,47000,2,Karachi,29,Male
2024-05-08,Shirt,Clothing,3000,3,Islamabad,26,Female
2024-05-11,Earbuds,Electronics,5800,2,Lahore,24,Male
2024-05-14,Jeans,Clothing,5200,1,Karachi,31,Female
2024-05-17,Tablet,Electronics,56000,1,Islamabad,38,Male
2024-05-20,Dress,Clothing,4200,2,Lahore,23,Female
2024-05-23,Charger,Electronics,1500,5,Karachi,27,Male
2024-05-26,Shoes,Clothing,7000,2,Islamabad,34,Female
2024-05-29,Smartwatch,Electronics,29000,1,Lahore,32,Male
